Source,Target,Weight,Label
Joseph Medaglia,Roger Corman,1,1
Joseph Medaglia,Alan Lee,1,1
Joseph Medaglia,Arthur Tovey,1,1
Tom Rosqui,Frank Sivero,2,2
Tom Rosqui,Filomena Spagnuolo,2,2
Tom Rosqui,Joe Spinell,2,2
Tom Rosqui,Nick Vallelonga,1,1
Tom Rosqui,Robert De Niro,1,1
Tom Rosqui,Harry Dean Stanton,1,1
Tom Rosqui,Danny Aiello,1,1
Tom Rosqui,Roger Corman,1,1
Tom Rosqui,Alan Lee,1,1
Tom Rosqui,Arthur Tovey,1,1
Frank Sivero,Filomena Spagnuolo,2,2
Frank Sivero,Joe Spinell,2,2
Frank Sivero,Nick Vallelonga,2,2
Frank Sivero,Robert De Niro,2,2
Frank Sivero,Harry Dean Stanton,1,1
Frank Sivero,Danny Aiello,1,1
Frank Sivero,Roger Corman,1,1
Frank Sivero,Alan Lee,1,1
Frank Sivero,Arthur Tovey,1,1
Frank Sivero,Joseph Oliveira,1,1
Frank Sivero,Samuel L. Jackson,1,1
Frank Sivero,Kevin Corrigan,1,1
Filomena Spagnuolo,Joe Spinell,2,2
Filomena Spagnuolo,Nick Vallelonga,1,1
Filomena Spagnuolo,Robert De Niro,1,1
Filomena Spagnuolo,Harry Dean Stanton,1,1
Filomena Spagnuolo,Danny Aiello,1,1
Filomena Spagnuolo,Roger Corman,1,1
Filomena Spagnuolo,Alan Lee,1,1
Filomena Spagnuolo,Arthur Tovey,1,1
Joe Spinell,Nick Vallelonga,1,1
Joe Spinell,Robert De Niro,1,1
Joe Spinell,Harry Dean Stanton,1,1
Joe Spinell,Danny Aiello,1,1
Joe Spinell,Roger Corman,1,1
Joe Spinell,Alan Lee,1,1
Joe Spinell,Arthur Tovey,1,1
Nick Vallelonga,Robert De Niro,1,1
Nick Vallelonga,Joseph Oliveira,1,1
Nick Vallelonga,Samuel L. Jackson,1,1
Nick Vallelonga,Kevin Corrigan,1,1
Robert De Niro,Harry Dean Stanton,1,1
Robert De Niro,Danny Aiello,1,1
Robert De Niro,Roger Corman,1,1
Robert De Niro,Alan Lee,1,1
Robert De Niro,Arthur Tovey,1,1
Robert De Niro,Joseph Oliveira,1,1
Robert De Niro,Samuel L. Jackson,1,1
Robert De Niro,Kevin Corrigan,1,1
Harry Dean Stanton,Danny Aiello,1,1
Harry Dean Stanton,Roger Corman,1,1
Harry Dean Stanton,Alan Lee,1,1
Harry Dean Stanton,Arthur Tovey,1,1
Harry Dean Stanton,Arnold Montey,1,1
Harry Dean Stanton,Rachel Singer,1,1
Harry Dean Stanton,Phil Hawn,1,1
Harry Dean Stanton,Tom Hanks,1,1
Harry Dean Stanton,Gary Sinise,1,1
Harry Dean Stanton,Bill Gratton,1,1
Harry Dean Stanton,Barry Pepper,1,1
Danny Aiello,Roger Corman,1,1
Danny Aiello,Alan Lee,1,1
Danny Aiello,Arthur Tovey,1,1
Danny Aiello,Gary Oldman,1,1
Danny Aiello,Hélène Cardona,1,1
Danny Aiello,Stuart Rudin,1,1
Roger Corman,Alan Lee,1,1
Roger Corman,Arthur Tovey,1,1
Roger Corman,Pat McNamara,1,1
Roger Corman,Gene Borkan,1,1
Roger Corman,Stuart Rudin,1,1
Roger Corman,Brooke Smith,1,1
Alan Lee,Arthur Tovey,1,1
Alan Lee,Noel Appleby,1,1
Alan Lee,Sean Astin,2,2
Alan Lee,John Bach,1,1
Alan Lee,Sean Bean,2,2
Alan Lee,Cate Blanchett,2,2
Alan Lee,Orlando Bloom,2,2
Alan Lee,Billy Boyd,2,2
Alan Lee,Alistair Browning,1,1
Alan Lee,Marton Csokas,1,1
Alan Lee,Bernard Hill,1,1
Alan Lee,Ian Holm,1,1
Alan Lee,Bruce Hopkins,1,1
Alan Lee,Lawrence Makoare,1,1
Alan Lee,Ian McKellen,2,2
Alan Lee,Bret McKenzie,1,1
Alan Lee,Sarah McLeod,1,1
Alan Lee,Dominic Monaghan,2,2
Alan Lee,Viggo Mortensen,2,2
Alan Lee,John Noble,1,1
Alan Lee,Paul Norell,1,1
Alan Lee,Miranda Otto,1,1
Alan Lee,Bruce Phillips,1,1
Alan Lee,Shane Rangi,1,1
Alan Lee,John Rhys-Davies,2,2
Alan Lee,Thomas Robins,1,1
Alan Lee,Andy Serkis,2,2
Alan Lee,Harry Sinclair,1,1
Alan Lee,Liv Tyler,2,2
Alan Lee,Karl Urban,1,1
Alan Lee,Stephen Ure,1,1
Alan Lee,Hugo Weaving,2,2
Alan Lee,David Wenham,1,1
Alan Lee,Elijah Wood,2,2
Alan Lee,Alan Howard,1,1
Alan Lee,Sala Baker,2,2
Alan Lee,Robert Pollock,1,1
Alan Lee,Jed Brophy,2,2
Alan Lee,Lee Hartley,2,2
Alan Lee,Billy Jackson,2,2
Alan Lee,Katie Jackson,2,2
Alan Lee,Brad Dourif,1,1
Alan Lee,Phil Grieve,2,2
Alan Lee,Christopher Lee,2,2
Alan Lee,Gino Acevedo,1,1
Alan Lee,Jarl Benzon,2,2
Alan Lee,Jørn Benzon,2,2
Alan Lee,Robert Catto,1,1
Alan Lee,Michael Elsworth,1,1
Alan Lee,Clint Elvy,1,1
Alan Lee,Zo Hartley,1,1
Alan Lee,Peter Jackson,2,2
Alan Lee,Sandro Kopp,1,1
Alan Lee,Joseph Mika-Hunt,1,1
Alan Lee,Henry Mortensen,1,1
Alan Lee,Craig Parker,2,2
Alan Lee,Brent McIntyre,2,2
Alan Lee,Victoria Beynon-Cole,2,2
Alan Lee,Sam La Hood,2,2
Alan Lee,Jono Manks,2,2
Alan Lee,Daniel Andrews,2,2
Alan Lee,Ben Britton,2,2
Alan Lee,Riley Brophy,2,2
Alan Lee,Ryan Carey,2,2
Alan Lee,Tack Daniel,2,2
Alan Lee,Mana Hira Davis,2,2
Alan Lee,Shane Dawson,2,2
Alan Lee,Siaosi Fonua,2,2
Alan Lee,Kester Fordham,2,2
Alan Lee,Ben Fransham,2,2
Alan Lee,Winham Hammond,2,2
Alan Lee,Jonathan Harding,2,2
Alan Lee,Lani Jackson,2,2
Alan Lee,Gareth Jensen,2,2
Alan Lee,Ralph Johnson,2,2
Alan Lee,Sam Kelly,2,2
Alan Lee,Greg Lane,2,2
Alan Lee,Arnold Montey,2,2
Alan Lee,Dean Morganty,2,2
Alan Lee,Samuel E. Shore,2,2
Alan Lee,Ken Stratton,2,2
Alan Lee,John Turner,2,2
Alan Lee,Tim Wong,2,2
Alan Lee,Robert Young,2,2
Alan Lee,Richard Alexander,1,1
Alan Lee,James Stewart,1,1
Alan Lee,Alfred Hitchcock,1,1
Arthur Tovey,Eric Stoltz,1,1
Arthur Tovey,Christopher Lloyd,1,1
Christian Bale,Michael Caine,2,2
Christian Bale,Gary Oldman,1,1
Christian Bale,Cillian Murphy,1,1
Christian Bale,Paul Bateman,1,1
Christian Bale,Luke Burnyeat,1,1
Christian Bale,Chris Hastings,1,1
